"ProductReference","Name","PrimaryCategory","CurrencyCode","CurrencyDescription","LegalStructure","ClosedToInvestDate","ReopenToInvestDate","InceptionDate","PerformanceStartDate","PerformanceEndDate","GrossNett","InitialNAV","InitialSharePrice","Guaranteed","NavROR","MinimumInvestment","ManagementFee","IncentiveFee","ManagementFeePayablePeriod","HighWaterMark","ShareEqualisationMethod","Leveraged","MaxLeverage","AvgLeverage","Futures","Derivatives","Margin","FXCredit","PersonalCapital","PersonalCapitalAmount","CurrencyExposure","OpenEnded","OpenToPublic","InvestsInManagedAccounts","InvestsInOtherFunds","AcceptsManagedAccounts","ManagedAccountsMinAmount","TrackingFrequency","SubscriptionFrequency","RedemptionFrequency","RedemptionNoticePeriod","LockUpPeriod","LockUpComment","PayOutPeriod","PayOutComment","AuditDate","RegisteredInvestmentAdviser","DomicileState","DomicileCountry"
1157,"India Capital Fund Limited A2","Emerging Markets","USD","US Dollar","Open-ended investment fund",,,1994-09-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",250000,1.25,20,"Monthly",0,0,0,0,0,0,0,0,0,1,60,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",60,0,"No Lockup Period.",0,"No payout.",2019-09-30 00:00:00,0,"None","Mauritius"
1176,"Power Capital Ltd Maxim High Yield Bond","Event Driven","USD","US Dollar","OEIC",,,1995-11-01 00:00:00,2016-11-04 00:00:00,2019-09-30 00:00:00,"N",1000,10,0,"R",5000,0.3,10,"Not Defined",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"Monthly","Monthly","Monthly",14,0,"0.00% -3.00%",0,"1.00%",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
1244,"Highgate Partners LP","Fund of Funds","USD","US Dollar","Limited Partnership",,,1993-01-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",250000,1,0,"Quarterly",0,0,1,0,0,1,1,1,0,1,,0,1,0,0,1,0,0,"Monthly","Quarterly","Semi-Annually",75,0,"nil",30,"",2018-12-31 00:00:00,0,"New York","United States"
1265,"SR Global Fund Inc G-Global Opportunities Pf","Emerging Markets","USD","US Dollar","KY - Collective Invt Scheme",,,1996-03-01 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,1,15,"Not Defined",1,0,0,135,0,1,1,0,0,1,,0,1,1,0,0,1,10000000,"Monthly","Monthly","Monthly",1,0,"No Lockup Period",10,"Payout Period is 10 days",2018-12-31 00:00:00,0,"None","Cayman Islands"
1267,"Cypress International Partners Ltd","Long/Short Equity Hedge","USD","US Dollar","Limited Liability Company",,,2015-05-01 00:00:00,2019-01-10 00:00:00,2019-09-30 00:00:00,"N",10000,10000,0,"R",5000000,1.25,20,"Monthly",1,0,0,,,0,0,0,0,1,,0,1,1,0,0,0,0,"Monthly",,,30,0,"No Lockup Period.",90,"",2018-12-31 00:00:00,1,"None","Virgin Islands (British)"
1288,"Leveraged Capital Holdings Fund A USD","Fund of Funds","USD","US Dollar","Open Ended Investment Scheme",,,1969-11-30 00:00:00,2015-02-10 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",,1.5,3,"Annual",1,0,1,0,0,1,0,1,1,0,,0,1,1,0,1,0,0,"Monthly","Daily","Quarterly",45,0,"Lockup period not exceeding two years / Lockup Period undisclosed",30,"Redemption proceeds are ordinarily paid within 3 business days, but under certain circumstances payment could be delayed for up to 30 days",2018-12-31 00:00:00,0,"None","Ireland"
1293,"Twin Securities LP","Event Driven","USD","US Dollar","Limited Partnership",,,1995-01-02 00:00:00,2017-08-31 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,2,20,"Quarterly",1,0,1,150,0,0,1,1,0,1,25000000,0,1,0,0,0,1,1000000,"Monthly","Monthly","Quarterly",30,12,"None (2.5% fee for first 12 months)",30,"Monthly / Quarterly (30 days notice)",2018-12-31 00:00:00,0,"Delaware","United States"
1363,"Blue Rock Capital LP","Equity Market Neutral","USD","US Dollar","Limited Partnership",,,1991-07-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",1000000,1,20,"Monthly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Monthly","Monthly","Quarterly",45,0,"undisclosed.",,"undisclosed.",2018-12-31 00:00:00,0,"Delaware","United States"
1370,"Cypress Partners LP","Long/Short Equity Hedge","USD","US Dollar","Limited Liability Company",,,1987-01-01 00:00:00,2016-03-18 00:00:00,2019-09-30 00:00:00,"A",1000,1000,0,"R",5000000,1.25,20,"Quarterly",1,0,1,0,50,1,1,1,1,1,0,0,1,1,0,0,0,0,"Monthly","Quarterly","Quarterly",30,0,"No Lockup",90,"Quarterly",2018-12-31 00:00:00,1,"New York","United States"
1413,"Power Capital Ltd Gold Edge","Multi-Strategy","USD","US Dollar","OEIC",,,1996-03-29 00:00:00,2018-02-09 00:00:00,2019-09-30 00:00:00,"N",10,10,0,"R",5000,0.75,10,"Not Defined",0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",14,0,"0.00% - 5.00%",0,"1.00%",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
1451,"Yankee Multi-Manager Fund LP","Fund of Funds","USD","US Dollar","Limited Partnership",,,1995-01-02 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",500000,1.2,10,"Quarterly",1,0,0,300,200,0,1,1,1,1,500000,0,0,0,0,1,1,0,"Monthly","Monthly","Quarterly",45,3,"3 Months",30,"30 Days",2018-12-31 00:00:00,0,"Massachusetts","United States"
1471,"Sierra Europe LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",,,1996-10-01 00:00:00,2018-04-13 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,1.5,20,"Annual",0,0,1,50,0,0,0,1,0,1,0,0,1,0,0,0,1,10000000,"Monthly","Monthly","Quarterly",30,0,"No lockup period.",0,"No payout period.",2018-12-31 00:00:00,0,"Delaware","United States"
1513,"P & A Multi-Sector Fund, LP","Fund of Funds","USD","US Dollar","Limited Partnership",,,1994-03-31 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",500000,1,10,"Quarterly",1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,"Monthly","Monthly","Annual",45,0,"No Lockup",90,"",2018-12-31 00:00:00,1,"Delaware","United States"
1540,"GAM Multi-Emerging Markets USD Open","Fund of Funds","USD","US Dollar","OEIC",1900-01-01 00:00:00,,1992-03-30 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",25000,1.6125,,"Monthly",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1000000,"Monthly","Not Defined","Not Defined",45,0,"No Lockup Period",0,"Redemptions deal monthly on the last business day of the month. For redemptions on the last business day of the month, notice of 45 calendar days to be given.",2019-09-30 00:00:00,0,"None","Virgin Islands (British)"
1617,"Sierra Europe Offshore Ltd A USD","Long/Short Equity Hedge","USD","US Dollar","OEIC",,,1997-03-03 00:00:00,2018-04-13 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",150000,1.5,20,"Annual",0,0,1,50,0,0,0,1,0,1,,0,1,0,0,0,1,10000000,"Monthly","Monthly","Monthly",30,0,"No lockup period.",0,"No payout period.",2018-12-31 00:00:00,0,"None","Cayman Islands"
1681,"Triad Trading LP","Fund of Funds","USD","US Dollar","Limited Partnership",,1994-11-01 00:00:00,1994-11-01 00:00:00,2018-01-04 00:00:00,2019-07-31 00:00:00,"N",100,100,0,"R",25000,1,5,"Monthly",1,0,1,25,15,1,1,1,0,1,500000,0,1,1,0,1,0,25000,"Monthly","Monthly","Quarterly",20,3,"",15,"",2018-12-31 00:00:00,1,"Texas","United States"
1688,"OEI Mac Inc","Long/Short Equity Hedge","USD","US Dollar","Limited Liability Company",2002-07-01 00:00:00,,1994-02-01 00:00:00,1994-02-28 00:00:00,2015-09-30 00:00:00,"N",176.63,176.63,0,"R",100000,1,20,"Monthly",1,0,1,0,0,1,0,1,1,1,,0,1,0,0,0,0,0,"Monthly","Semi-Monthly","Semi-Monthly",7,12,"1% fee if redeemed within initial 12 months of subscription.",5,"",2005-12-31 00:00:00,0,"None","Cayman Islands"
1773,"HSBC Multi Adviser Arbitrage USD","Options Strategy","USD","US Dollar","Unit trust - B scheme",,,1995-06-15 00:00:00,2008-09-01 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",25000,1.65,10,"Not Defined",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"Monthly","Monthly","Monthly",10,0,"No lockup period.",0,"No payout period.",2019-04-30 00:00:00,0,"None","Guernsey"
1775,"HSBC GH USD","Fund of Funds","USD","US Dollar","Unit trust - B scheme",,,1996-06-30 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",25000,1.65,10,"Not Defined",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"Monthly","Monthly","Monthly",10,0,"No lockup period.",0,"No payout period.",2019-04-30 00:00:00,0,"None","Guernsey"
1779,"LIM Asia Multi-Strategy Class A","Multi-Strategy","USD","US Dollar","OEIC",1900-01-01 00:00:00,,1996-01-01 00:00:00,2007-10-01 00:00:00,2019-08-31 00:00:00,"N",100,100,0,"R",1000000,1.5,15,"Monthly",1,0,1,198,170,0,0,0,0,0,0,0,1,1,0,0,1,10000000,"Monthly","Quarterly","Quarterly",45,0,"No lockup period.",20,"",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
1831,"P & A Diversified Managers Fund, LP","Fund of Funds","USD","US Dollar","Limited Partnership",,,1991-05-31 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",500000,1,2.5,"Quarterly",1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,"Monthly","Monthly","Annual",60,0,"No Lockup",90,"",2018-12-31 00:00:00,1,"Delaware","United States"
1855,"The Adelphi Europe A USD","Long/Short Equity Hedge","USD","US Dollar","OEIC",2002-01-01 00:00:00,,1997-10-16 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",200000,1,20,"Monthly",1,1,1,200,130,1,1,0,1,1,,0,1,0,0,0,1,0,"Monthly","Monthly","Quarterly",30,0,"No lockup period.",14,"The payment of the redemption monies shall be made generally within fourteen calendar days of the relevant Redemption Day.",2018-12-31 00:00:00,1,"None","Cayman Islands"
1875,"Marshall Wace Eureka A1 USD","Long/Short Equity Hedge","USD","US Dollar","OEIC",2002-07-01 00:00:00,,1998-01-07 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1,20,"Monthly",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25000000,"Monthly","Monthly","Monthly",30,0,"No lockup.",10,"",2018-12-31 00:00:00,0,"None","Ireland"
1930,"Firebird Republics Ltd A USD","Emerging Markets","USD","US Dollar","Exempted Limited Liability Co",,,1997-05-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",200000,2,20,"Quarterly",0,0,1,5,0,0,1,1,0,1,60,0,1,0,0,0,0,0,"Monthly","Monthly","Quarterly",60,0,"No lockup",90,"Quarterly",2018-12-31 00:00:00,0,"None","Cayman Islands"
1932,"Thai Focused Equity Ltd A USD","Emerging Markets","USD","US Dollar","Open-ended investment fund",2006-02-01 00:00:00,2006-07-31 00:00:00,1997-10-21 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"N",100000,1,20,"Monthly",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,10000000,"Monthly","Monthly","Monthly",90,0,"No Lockup Period",0,"No Payout Period",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
1966,"Prima Capital Ltd A USD","Fund of Funds","USD","US Dollar","International Business Company",,,1993-04-01 00:00:00,2007-12-20 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",25000,1.5,10,"Quarterly",1,0,1,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,"Monthly","Monthly","Monthly",35,0,"No Lockup",10,"",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
1989,"Aristeia Partners LP A USD","Other","USD","US Dollar","Limited Partnership",,,1997-08-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"A",100,100,0,"R",5000000,1,20,"Quarterly",1,0,1,0,0,1,1,1,1,1,,0,1,1,0,0,0,0,"Monthly","Monthly","Quarterly",60,0,"No Lock-up",30,"",2018-12-31 00:00:00,1,"Delaware","United States"
1990,"Aristeia International Limited A USD","Other","USD","US Dollar","Exempted Company",,,1997-08-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"A",100,100,0,"R",5000000,1,20,"Quarterly",1,0,1,0,0,1,1,1,1,1,,0,1,1,0,0,0,0,"Monthly","Monthly","Quarterly",60,0,"No Lock-up",30,"95% in 30 days, balance 30 days after competion of Audit",2018-12-31 00:00:00,1,"None","Cayman Islands"
2012,"SPARX Japan Long-Short Fund Ltd USD","Long/Short Equity Hedge","USD","US Dollar","OEIC",2006-02-01 00:00:00,,1997-06-02 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000000,1.5,20,"Not Defined",0,0,1,200,100,1,1,1,0,1,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",15,0,"No lockup period.",0,"No payout period.",2018-12-31 00:00:00,0,"None","Bermuda"
2032,"Hangar 4 Partners Canterbury Growth Fund Ltd","Long/Short Equity Hedge","USD","US Dollar","Open-ended fund",,,1996-01-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,1,20,"Quarterly",0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,5000000,"Monthly","Monthly","Monthly",30,0,"No Lock-up",0,"",2018-12-31 00:00:00,0,"None","Bermuda"
2045,"Hangar 4 Partners Eagle I LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",,,1992-01-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,2,20,"Quarterly",1,0,1,0,0,0,0,1,0,0,,0,1,0,0,0,1,5000000,"Monthly","Quarterly","Quarterly",30,0,"No Lock-up",0,"",2018-12-31 00:00:00,0,"California","United States"
2049,"Greylock Global Opportunity Fund LP","Emerging Markets","USD","US Dollar","Limited Partnership",2004-06-01 00:00:00,2006-01-01 00:00:00,1997-01-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",1000000,2,20,"Monthly",1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,50000000,"Monthly","Monthly","Quarterly",30,0,"No Lockup Period",30,"",2018-12-31 00:00:00,1,"Delaware","United States"
2076,"GAM Diversity Inc USD Open","Fund of Funds","USD","US Dollar","OEIC",2003-10-07 00:00:00,,1989-12-29 00:00:00,2009-01-13 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",25000,1.61,0,"Monthly",0,0,0,5,105,1,0,1,1,1,0,1,1,0,0,1,0,0,"Monthly","Weekly","Monthly",95,0,"No Lock Up Period",0,"No Payout Period",2019-09-30 00:00:00,0,"None","Virgin Islands (British)"
2110,"Alternative Investments Institutional LP","Fund of Funds","USD","US Dollar","Limited Partnership",,,1998-01-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,0.8,5,"Quarterly",1,0,0,0,0,0,0,0,0,1,17000000,0,1,0,0,1,1,50000000,"Monthly","Monthly","Semi-Annually",90,12,"nil",60,"",2018-12-31 00:00:00,1,"Delaware","United States"
2157,"Aurum Investor Dollar","Fund of Funds","USD","US Dollar","Limited Liability Company",1900-01-01 00:00:00,,1994-09-01 00:00:00,2009-02-05 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",25000,2,15,"Monthly",1,0,1,30,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"Monthly","Monthly","Monthly",90,0,"There is no lock up period.",30,"If it appears that a valuation can not be relied upon, the fund may pay to the redeeming investor 90% of the redemption price and the balance due will be paid as soon as a definitive valuation has been obtained.",2018-12-31 00:00:00,0,"None","Bermuda"
2169,"Z Europe Fund USD Ltd","Long/Short Equity Hedge","USD","US Dollar","Limited Corporation",2003-01-01 00:00:00,,1998-07-31 00:00:00,2008-08-25 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",70000,1.5,20,"Quarterly",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,10000000,"Monthly","Monthly","Monthly",7,0,"nil",0,"",2018-12-31 00:00:00,0,"None","Cayman Islands"
2212,"SMN Diversified Futures Fund 1996","Managed Futures","EUR","Euro","LU - SICAV - Part 2",,,1996-10-31 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",100,3.96,15,"Weekly",1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,25000000,"Monthly","Monthly","Monthly",3,0,"up to 5%",5,"",2018-10-31 00:00:00,0,"None","Luxembourg"
2225,"Rivoli International Fund E","Managed Futures","EUR","Euro","FR - FCP",,,1996-10-31 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",,,,"N",100000,,,,0,0,0,,,0,0,0,0,0,,0,0,0,0,,0,,,"Daily","Daily",,0,"",,"",2018-12-31 00:00:00,0,,"France"
2230,"The Adelphi Europe A EUR","Long/Short Equity Hedge","EUR","Euro","OEIC",2001-12-31 00:00:00,,1997-10-16 00:00:00,2009-01-29 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",200000,1,20,"Monthly",1,1,1,200,130,1,1,0,1,1,,0,1,0,0,0,1,0,"Monthly","Monthly","Quarterly",30,0,"No lockup period.",14,"The payment of the redemption monies shall be made generally within fourteen calendar days of the relevant Redemption Day.",2018-12-31 00:00:00,1,"None","Cayman Islands"
