"ProductReference","CompanyID","CompanyName","CompanyTypeID","CompanyType","Sequence","Address1","Address2","Address3","CityName","StateName","Zip","CountryName","Phone1","Phone2","Fax1","Fax2","MainEmail","WebAddress"
1990,586,"Aristeia Capital LLC",1,"Management Firm",1,"136 Madison Avenue","3rd Floor","","New York","New York","10016","United States","+1 212 842 8900","","+1 212 842 8901","","","http://www.aristeiacapital.com/Flat-Main.htm"
2012,6635,"SPARX Overseas Limited",1,"Management Firm",1,"Tennoz First Tower 16F","2-2-4 Higashi Shinagawa","Shinagawa-ku","Tokyo","None","140-0002","Japan","+81 3 6711 9100","","+81 3 6711 9101","","","www.sparx.co.jp"
2012,6635,"SPARX Overseas Limited",2,"Investment Advisor",1,"Tennoz First Tower 16F","2-2-4 Higashi Shinagawa","Shinagawa-ku","Tokyo","None","140-0002","Japan","+81 3 6711 9100","","+81 3 6711 9101","","","www.sparx.co.jp"
2032,90440,"Hangar 4 Partners LLC",1,"Management Firm",1,"6 Hamilton Landing, Suite 210","","","Novato","California","94949","United States","+1 415 382 4388","","","","bml@hangar4partners.com","www.hangar4partners.com"
2032,90440,"Hangar 4 Partners LLC",2,"Investment Advisor",1,"6 Hamilton Landing, Suite 210","","","Novato","California","94949","United States","+1 415 382 4388","","","","bml@hangar4partners.com","www.hangar4partners.com"
2045,90440,"Hangar 4 Partners LLC",1,"Management Firm",1,"6 Hamilton Landing, Suite 210","","","Novato","California","94949","United States","+1 415 382 4388","","","","bml@hangar4partners.com","www.hangar4partners.com"
2045,90440,"Hangar 4 Partners LLC",2,"Investment Advisor",1,"6 Hamilton Landing, Suite 210","","","Novato","California","94949","United States","+1 415 382 4388","","","","bml@hangar4partners.com","www.hangar4partners.com"
2049,77136,"Greylock Capital Management LLC",1,"Management Firm",1,"99 Park Avenue","8th Floor","","New York","New York","10016","United States","+1 212 808 1801","","","","","www.greylockcapital.com"
2049,77136,"Greylock Capital Management LLC",2,"Investment Advisor",1,"99 Park Avenue","8th Floor","","New York","New York","10016","United States","+1 212 808 1801","","","","","www.greylockcapital.com"
2076,82764,"GAM Fund Management Limited",1,"Management Firm",1,"George's Court","54-62 Townsend Street","","Dublin 2","None","","Ireland","+353 1 609 3927","","+353 1 611 7941","","info@gam.com","www.gam.com"
2110,39309,"Alternative Investment Group LLC",1,"Management Firm",1,"2960 Post Road","","","Southport","Connecticut","06890","United States","+1 203 256 9326","","+1 203 255 3718","","","www.altinv.com"
2110,39309,"Alternative Investment Group LLC",11,"Underwriter/Sponsor",1,"2960 Post Road","","","Southport","Connecticut","06890","United States","+1 203 256 9326","","+1 203 255 3718","","","www.altinv.com"
2157,39771,"Aurum Fund Management Ltd",1,"Management Firm",1,"Aurum House","35 Richmond Road","","Hamilton","None","HM08","Bermuda","+1 441 292 6952","+44 20 7589 1130","+1 441 295 4164","+44 20  7581 1780","ir@aurumfunds.com","www.aurumfunds.com"
2157,39771,"Aurum Fund Management Ltd",2,"Investment Advisor",1,"Aurum House","35 Richmond Road","","Hamilton","None","HM08","Bermuda","+1 441 292 6952","+44 20 7589 1130","+1 441 295 4164","+44 20  7581 1780","ir@aurumfunds.com","www.aurumfunds.com"
2157,79576,"Continental Sponsors Limited",11,"Underwriter/Sponsor",1,"Century House","16 Par-la-Ville Road","PO Box HM 1806","Hamilton","None","HM HX","Bermuda","+1 441 292 7478","","+1 441 295 4164","","",""
2169,1678,"Magnum Global Investments Ltd",11,"Underwriter/Sponsor",1,"Charlotte House, Charlotte Street","P.O. Box CB-1921","","Nassau","None","","Bahamas","+1 242 326 2842","+1 242 394 2700","+1 242 326 2429","","","www.magnum.com"
2169,90312,"Zug Finance AG",1,"Management Firm",1,"Grafenauweg 4","6300 Zug","","","","","Switzerland","+41 41 724 57 11","","+41 41 724 57 12","","info@zugfinance.ch",""
2169,90312,"Zug Finance AG",2,"Investment Advisor",1,"Grafenauweg 4","6300 Zug","","","","","Switzerland","+41 41 724 57 11","","+41 41 724 57 12","","info@zugfinance.ch",""
2212,81333,"CACEIS Luxembourg SA",11,"Underwriter/Sponsor",1,"5, Allee Scheffer","","","Luxembourg","None","L-2520","Luxembourg","+3 524 767 2398","","","","","http://www.caceis.com/"
2230,83459,"Adelphi Capital LLP",1,"Management Firm",1,"2 George Yard","","","London","None","EC3V 9DH","United Kingdom","","","","","",""
2230,83459,"Adelphi Capital LLP",2,"Investment Advisor",1,"2 George Yard","","","London","None","EC3V 9DH","United Kingdom","","","","","",""
2239,10,"N/A",3,"Sub Advisor",1,"","","","None","None","","None","","","","","",""
2239,82109,"Marshall Wace LLP",1,"Management Firm",1,"George House,","131 Sloane Street","","London","None","SW1X 9AT","United Kingdom","+44 020 7316 2280","","+44 20 7316 2281","","","www.mwam.com"
2239,82109,"Marshall Wace LLP",2,"Investment Advisor",1,"George House,","131 Sloane Street","","London","None","SW1X 9AT","United Kingdom","+44 020 7316 2280","","+44 20 7316 2281","","","www.mwam.com"
2239,82109,"Marshall Wace LLP",11,"Underwriter/Sponsor",1,"George House,","131 Sloane Street","","London","None","SW1X 9AT","United Kingdom","+44 020 7316 2280","","+44 20 7316 2281","","","www.mwam.com"
2247,5251,"Odey Asset Management LLP",1,"Management Firm",1,"12 Upper Grosvenor Street","","","London","None","W1K 2ND","United Kingdom","+44 20 7208 1400","","+44 20 7208 1401","+44 20 7208 1431","","www.odey.co.uk"
2247,5251,"Odey Asset Management LLP",2,"Investment Advisor",1,"12 Upper Grosvenor Street","","","London","None","W1K 2ND","United Kingdom","+44 20 7208 1400","","+44 20 7208 1401","+44 20 7208 1431","","www.odey.co.uk"
2247,5251,"Odey Asset Management LLP",11,"Underwriter/Sponsor",1,"12 Upper Grosvenor Street","","","London","None","W1K 2ND","United Kingdom","+44 20 7208 1400","","+44 20 7208 1401","+44 20 7208 1431","","www.odey.co.uk"
2252,90312,"Zug Finance AG",1,"Management Firm",1,"Grafenauweg 4","6300 Zug","","","","","Switzerland","+41 41 724 57 11","","+41 41 724 57 12","","info@zugfinance.ch",""
2252,90312,"Zug Finance AG",2,"Investment Advisor",1,"Grafenauweg 4","6300 Zug","","","","","Switzerland","+41 41 724 57 11","","+41 41 724 57 12","","info@zugfinance.ch",""
2285,85013,"Millburn Ridgefield Corporation",1,"Management Firm",2,"411 West Putnam Avenue","Suite 410","","Greenwich","Connecticut","06830","United States","+1 203 625 7554","","+1 203 625 8220","","info@millburncorp.com","http://www.millburncorp.com"
2285,85013,"Millburn Ridgefield Corporation",2,"Investment Advisor",1,"411 West Putnam Avenue","Suite 410","","Greenwich","Connecticut","06830","United States","+1 203 625 7554","","+1 203 625 8220","","info@millburncorp.com","http://www.millburncorp.com"
2285,85013,"Millburn Ridgefield Corporation",11,"Underwriter/Sponsor",2,"411 West Putnam Avenue","Suite 410","","Greenwich","Connecticut","06830","United States","+1 203 625 7554","","+1 203 625 8220","","info@millburncorp.com","http://www.millburncorp.com"
2287,89762,"ECH Investments Ltd",1,"Management Firm",1,"Grand Pavilion Commercial Centre","802 West Bay Road","","Grand Cayman","","","Cayman Islands","","","","","","www.capitalholdings.com"
2287,89762,"ECH Investments Ltd",2,"Investment Advisor",1,"Grand Pavilion Commercial Centre","802 West Bay Road","","Grand Cayman","","","Cayman Islands","","","","","","www.capitalholdings.com"
2313,86691,"Falcon Point Capital LLC",1,"Management Firm",1,"Two Embarcadero Center, Suite 1300","","","San Francisco","California","94111","United States","+1 415 782 9642","+1 441 295 9166","","","info@fptcap.com","www.falconpointcapital.com"
2313,86691,"Falcon Point Capital LLC",2,"Investment Advisor",1,"Two Embarcadero Center, Suite 1300","","","San Francisco","California","94111","United States","+1 415 782 9642","+1 441 295 9166","","","info@fptcap.com","www.falconpointcapital.com"
2314,86691,"Falcon Point Capital LLC",1,"Management Firm",1,"Two Embarcadero Center, Suite 1300","","","San Francisco","California","94111","United States","+1 415 782 9642","+1 441 295 9166","","","info@fptcap.com","www.falconpointcapital.com"
2314,86691,"Falcon Point Capital LLC",2,"Investment Advisor",1,"Two Embarcadero Center, Suite 1300","","","San Francisco","California","94111","United States","+1 415 782 9642","+1 441 295 9166","","","info@fptcap.com","www.falconpointcapital.com"
2315,41525,"Ennismore Fund Management Limited",1,"Management Firm",1,"150A Kensington Church Street","","","London","None","W8 4BN","United Kingdom","+44 20 7313 9530","","+44 20 7313 9530","","",""
2315,41525,"Ennismore Fund Management Limited",2,"Investment Advisor",1,"150A Kensington Church Street","","","London","None","W8 4BN","United Kingdom","+44 20 7313 9530","","+44 20 7313 9530","","",""
2315,41525,"Ennismore Fund Management Limited",11,"Underwriter/Sponsor",1,"150A Kensington Church Street","","","London","None","W8 4BN","United Kingdom","+44 20 7313 9530","","+44 20 7313 9530","","",""
2334,39309,"Alternative Investment Group LLC",1,"Management Firm",1,"2960 Post Road","","","Southport","Connecticut","06890","United States","+1 203 256 9326","","+1 203 255 3718","","","www.altinv.com"
2334,39309,"Alternative Investment Group LLC",11,"Underwriter/Sponsor",1,"2960 Post Road","","","Southport","Connecticut","06890","United States","+1 203 256 9326","","+1 203 255 3718","","","www.altinv.com"
2343,86465,"Lawndale Capital Management LLC",1,"Management Firm",1,"591 Redwood Highway, Suite 2345","","","Mill Valley","California","94941","United States","+ 1 415 389 8258","","","","",""
2343,86465,"Lawndale Capital Management LLC",2,"Investment Advisor",1,"591 Redwood Highway, Suite 2345","","","Mill Valley","California","94941","United States","+ 1 415 389 8258","","","","",""
2343,86465,"Lawndale Capital Management LLC",11,"Underwriter/Sponsor",1,"591 Redwood Highway, Suite 2345","","","Mill Valley","California","94941","United States","+ 1 415 389 8258","","","","",""
2355,82398,"Permal Investment Management Services Limited",1,"Management Firm",1,"12 St. James's Square","","","London","None","SW 1Y 4LB","United Kingdom","+44 207 389 1300","","+44 207 389 1344","","","http://www.permal.com/"
2355,82399,"Permal Asset Management Inc",2,"Investment Advisor",1,"900 Third Avenue","","","New York","New York","10022","United States","+1 212 418 6500","","+1 212 418 6543","","",""
2355,82399,"Permal Asset Management Inc",11,"Underwriter/Sponsor",1,"900 Third Avenue","","","New York","New York","10022","United States","+1 212 418 6500","","+1 212 418 6543","","",""
2360,84155,"Platinum Investment Management Limited",1,"Management Firm",1,"Level 8","7 Macquarie Place","","Sydney","None","NSW 2000","Australia","","","","","",""
2360,84155,"Platinum Investment Management Limited",2,"Investment Advisor",1,"Level 8","7 Macquarie Place","","Sydney","None","NSW 2000","Australia","","","","","",""
2373,10740,"Gems Management Limited",11,"Underwriter/Sponsor",1,"Norfolk House, 1st Floor","Federick Street","PO Box CB-12809","Nassau","None","","Bahamas","+1 242 326 1904/5","","+1 242 326 3839","","cedric.carroll@gemsadvisors.com","www.gemsinvest.com"
2373,81879,"Olympia Capital Management SA",1,"Management Firm",1,"21 - 25 rue Balzac","","","Paris","None","75008","France","+33 1 4953 9038","","+33 1 4953 0296","","","www.olympiacapital.com"
